"","orig","des_old","des_new"
"Q47YI6","4-hydroxy-tetrahydrodipicolinate reductase ","4-hydroxy-tetrahydrodipicolinate reductase ","4-hydroxy-tetrahydrodipicolinate reductase "
"Q47YI7","Carbamoyl-phosphate synthase small chain ","Carbamoyl-phosphate synthase small chain ","Carbamoyl-phosphate synthase small chain "
"Q47YI8","Carbamoyl-phosphate synthase large chain ","Carbamoyl-phosphate synthase large chain ","Carbamoyl-phosphate synthase large chain "
"Q47YI9","Transcription elongation factor GreA ","Transcription elongation factor GreA ","Transcription elongation factor GreA "
"Q47YJ1","Uncharacterized protein ","Uncharacterized protein ","Arc family DNA binding domain-containing protein "
"Q47YJ2","Uncharacterized protein ","Uncharacterized protein ","CRM domain-containing protein "
"Q47YJ3","Ribosomal RNA large subunit methyltransferase E ","Ribosomal RNA large subunit methyltransferase E ","Ribosomal RNA large subunit methyltransferase E "
"Q47YJ4","ATP-dependent zinc metalloprotease FtsH ","ATP-dependent zinc metalloprotease FtsH ","ATP-dependent zinc metalloprotease FtsH "
"Q47YJ5","Dihydropteroate synthase ","Dihydropteroate synthase ","Dihydropteroate synthase "
"Q47YJ7","Phosphoglucosamine mutase ","Phosphoglucosamine mutase ","Phosphoglucosamine mutase "
"Q47YJ8","Triosephosphate isomerase ","Triosephosphate isomerase ","Triosephosphate isomerase "
"Q47YK2","Transcriptional regulator, LuxR family ","Transcriptional regulator, LuxR family ","Transcriptional regulator, LuxR family "
"Q47YK6","Cytochrome c2 ","Cytochrome c2 ","Cytochrome c2 "
"Q47YK7","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47YL3","Uncharacterized protein ","Uncharacterized protein ","DUF1302 domain-containing protein "
"Q47YL4","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family "
"Q47YL6","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47YL8","Long-chain-fatty-acid--CoA ligase ","Long-chain-fatty-acid--CoA ligase ","Long-chain-fatty-acid--CoA ligase "
"Q47YM1","3-hydroxyisobutyrate dehydrogenase ","3-hydroxyisobutyrate dehydrogenase ","3-hydroxyisobutyrate dehydrogenase "
"Q47YM2","Methylmalonate-semialdehyde dehydrogenase ","Methylmalonate-semialdehyde dehydrogenase ","Methylmalonate-semialdehyde dehydrogenase "
"Q47YM5","DNA-binding response regulator, LuxR family ","DNA-binding response regulator, LuxR family ","DNA-binding response regulator, LuxR family "
"Q47YM6","Sensory box sensor histidine kinase/response regulator ","Sensory box sensor histidine kinase/response regulator ","histidine kinase "
"Q47YM7","Uncharacterized protein ","Uncharacterized protein ","Porin "
"Q47YM8","Putative branched-chain amino acid ABC transporter, ATP-binding protein ","Putative branched-chain amino acid ABC transporter, ATP-binding protein ","Putative branched-chain amino acid ABC transporter, ATP-binding protein "
"Q47YM9","Putative branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding ","Putative branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding ","Putative branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding "
"Q47YN2","Putative branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein ","Putative branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein ","Putative branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein "
"Q47YN3","Putative branched chain amino acid ABC transporter, ATP-binding protein ","Putative branched chain amino acid ABC transporter, ATP-binding protein ","Putative branched chain amino acid ABC transporter, ATP-binding protein "
"Q47YN4","Putative phenylacetate-coenzyme A ligase ","Putative phenylacetate-coenzyme A ligase ","Putative phenylacetate-coenzyme A ligase "
"Q47YN5","Uncharacterized protein ","Uncharacterized protein ","Thioesterase domain-containing protein "
"Q47YN6","Isochorismatase family protein ","Isochorismatase family protein ","Isochorismatase family protein "
"Q47YN8","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47YN9","UPF0276 protein CPS_3406 ","UPF0276 protein CPS_3406 ","UPF0276 protein CPS_3406 "
"Q47YP0","Uncharacterized protein ","Uncharacterized protein ","Putative DNA-binding domain-containing protein "
"Q47YP1","Snf2 family protein ","Snf2 family protein ","Snf2 family protein "
"Q47YP4","ATP-dependent RNA helicase, DEAD box family ","ATP-dependent RNA helicase, DEAD box family ","ATP-dependent RNA helicase, DEAD box family "
"Q47YQ5","Aminotransferase, class I ","Aminotransferase, class I ","Aminotransferase, class I "
"Q47YR1","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family "
"Q47YR3","Uncharacterized protein ","Uncharacterized protein ","RanBP2-type domain-containing protein "
"Q47YR4","Putative sortase family protein ","Putative sortase family protein ","Putative sortase family protein "
"Q47YR5","von Willebrand factor type A domain protein ","von Willebrand factor type A domain protein ","von Willebrand factor type A domain protein "
"Q47YR7","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47YR8","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47YS0","Putative helicase ","Putative helicase ","Putative helicase "
"Q47YS1","Histone deacetylase family protein ","Histone deacetylase family protein ","Histone deacetylase family protein "
"Q47YS7","Peptide methionine sulfoxide reductase MsrA ","Peptide methionine sulfoxide reductase MsrA ","Peptide methionine sulfoxide reductase MsrA "
"Q47YT4","Putative acetolactate synthase, catabolic ","Putative acetolactate synthase, catabolic ","Putative acetolactate synthase, catabolic "
"Q47YT5","Aldehyde dehydrogenase family protein ","Aldehyde dehydrogenase family protein ","Aldehyde dehydrogenase family protein "
"Q47YT9","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase "
"Q47YU4","Metallo-beta-lactamase family protein ","Metallo-beta-lactamase family protein ","Metallo-beta-lactamase family protein "
"Q47YV3","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family "
"Q47YV5","Uncharacterized protein ","Uncharacterized protein ","DUF2132 domain-containing protein "
"Q47YW2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47YW3","Transcriptional regulator, MarR family ","Transcriptional regulator, MarR family ","Transcriptional regulator, MarR family "
"Q47YW4","Organic hydroperoxide resistance protein ","Organic hydroperoxide resistance protein ","Organic hydroperoxide resistance protein "
"Q47YW6","Catalase-related peroxidase ","Catalase-related peroxidase ","Catalase-related peroxidase "
"Q47YX2","Uncharacterized protein ","Uncharacterized protein ","NadR/Ttd14 AAA domain-containing protein "
"Q47YY2","Glutathione S-transferase family protein ","Glutathione S-transferase family protein ","Glutathione S-transferase family protein "
"Q47YY5","Putative phosphonate ABC transporter, periplasmic phosphonate-binding protein ","Putative phosphonate ABC transporter, periplasmic phosphonate-binding protein ","Putative phosphonate ABC transporter, periplasmic phosphonate-binding protein "
"Q47YY8","Methyltransferase, UbiE/COQ5 family ","Methyltransferase, UbiE/COQ5 family ","Methyltransferase, UbiE/COQ5 family "
"Q47YZ4","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47YZ6","Uncharacterized protein ","Uncharacterized protein ","AAA+ ATPase domain-containing protein "
"Q47YZ7","Uncharacterized protein ","Uncharacterized protein ","VWA containing CoxE family protein "
"Q47YZ8","Universal stress protein family ","Universal stress protein family ","Universal stress protein family "
"Q47Z04","Uncharacterized protein ","Uncharacterized protein ","HopJ type III effector protein "
"Q47Z05","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding "
"Q47Z06","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47Z07","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Z08","DNA-binding protein ","DNA-binding protein ","DNA-binding protein "
"Q47Z09","Ribosomal RNA large subunit methyltransferase K/L ","Ribosomal RNA large subunit methyltransferase K/L ","Ribosomal RNA large subunit methyltransferase K/L "
"Q47Z11","ABC transporter, ATP-binding protein Uup ","ABC transporter, ATP-binding protein Uup ","ATP-binding protein Uup "
"Q47Z12","Uncharacterized protein ","Uncharacterized protein ","DUF3466 family protein "
"Q47Z14","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase ","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase ","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase "
"Q47Z15","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Z17","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q47Z18","UvrABC system protein C ","UvrABC system protein C ","UvrABC system protein C "
"Q47Z19","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase ","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase ","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase "
"Q47Z20","Uncharacterized protein ","Uncharacterized protein ","Leucine-binding protein domain-containing protein "
"Q47Z22","Sensory box/GGDEF/GAF/EAL domain protein ","Sensory box/GGDEF/GAF/EAL domain protein ","Sensory box/GGDEF/GAF/EAL domain protein "
"Q47Z31","Polysaccharide biosynthesis/export protein ","Polysaccharide biosynthesis/export protein ","Polysaccharide biosynthesis/export protein "
"Q47Z33","Glycosyl transferase, WecB/TagA/CpsF family ","Glycosyl transferase, WecB/TagA/CpsF family ","Glycosyl transferase, WecB/TagA/CpsF family "
"Q47Z35","Sigma 54-dependent DNA-binding response regulator ","Sigma 54-dependent DNA-binding response regulator ","Sigma 54-dependent DNA-binding response regulator "
"Q47Z39","Response regulator ","Response regulator ","Response regulator "
"Q47Z40","Glutamine--tRNA ligase ","Glutamine--tRNA ligase ","Glutamine--tRNA ligase "
"Q47Z41","Peptidoglycan lytic exotransglycosylase ","Peptidoglycan lytic exotransglycosylase ","Transglycosylase, SLT family "
"Q47Z43","Acetolactate synthase III, small subunit ","Acetolactate synthase III, small subunit ","Acetolactate synthase small subunit "
"Q47Z44","Acetolactate synthase ","Acetolactate synthase ","Acetolactate synthase "
"Q47Z46","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47Z47","Uncharacterized protein ","Uncharacterized protein ","5'-deoxynucleotidase "
"Q47Z48","Aminotransferase, class I ","Aminotransferase, class I ","alanine transaminase "
"Q47Z50","Proline--tRNA ligase ","Proline--tRNA ligase ","Proline--tRNA ligase "
"Q47Z52","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Z53","Uncharacterized protein ","Uncharacterized protein ","Replicative DNA helicase "
"Q47Z54","Uncharacterized protein ","Uncharacterized protein ","Carbohydrate-binding family V/XII "
"Q47Z55","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47Z58","Glutamate--tRNA ligase ","Glutamate--tRNA ligase ","Glutamate--tRNA ligase "
"Q47Z59","Putative ATP-dependent RNA helicase SrmB ","Putative ATP-dependent RNA helicase SrmB ","Putative ATP-dependent RNA helicase SrmB "
"Q47Z62","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Z67","Uncharacterized protein ","Uncharacterized protein ","MetA-pathway of phenol degradation "
"Q47Z68","Glutamate synthase domain protein ","Glutamate synthase domain protein ","Glutamate synthase domain protein "
"Q47Z69","Ribosomal RNA large subunit methyltransferase J ","Ribosomal RNA large subunit methyltransferase J ","Ribosomal RNA large subunit methyltransferase J "
"Q47Z70","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q47Z71","UPF0313 protein CPS_3203 ","UPF0313 protein CPS_3203 ","Radical SAM domain protein "
"Q47Z72","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47Z76","Uncharacterized protein ","Uncharacterized protein ","DUF3108 domain-containing protein "
"Q47Z77","Phosphoribosylglycinamide formyltransferase ","Phosphoribosylglycinamide formyltransferase ","Phosphoribosylglycinamide formyltransferase "
"Q47Z78","Phosphoribosylformylglycinamidine cyclo-ligase ","Phosphoribosylformylglycinamidine cyclo-ligase ","Phosphoribosylformylglycinamidine cyclo-ligase "
"Q47Z79","Uncharacterized protein ","Uncharacterized protein ","DUF2066 domain-containing protein "
"Q47Z80","Uncharacterized protein ","Uncharacterized protein ","Chromosomal replication initiator protein DnaA domain-containing protein "
"Q47Z81","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47Z83","Arsenate reductase ","Arsenate reductase ","Arsenate reductase "
"Q47Z84","Putative beta-barrel assembly-enhancing protease ","Putative beta-barrel assembly-enhancing protease ","Putative beta-barrel assembly-enhancing protease "
"Q47Z85","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47Z87","Putative permease ","Putative permease ","Putative permease "
"Q47Z88","Bacterioferritin comigratory protein ","Bacterioferritin comigratory protein ","thioredoxin-dependent peroxiredoxin "
"Q47Z89","Glycine cleavage system transcriptional repressor ","Glycine cleavage system transcriptional repressor ","Glycine cleavage system transcriptional repressor "
"Q47Z92","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47Z93","Uncharacterized protein ","Uncharacterized protein ","DUF2897 domain-containing protein "
"Q47Z94","D-alanyl-D-alanine carboxypeptidase family protein ","D-alanyl-D-alanine carboxypeptidase family protein ","D-alanyl-D-alanine carboxypeptidase family protein "
"Q47Z95","Succinyl-diaminopimelate desuccinylase ","Succinyl-diaminopimelate desuccinylase ","Succinyl-diaminopimelate desuccinylase "
"Q47Z96","ArsC family protein ","ArsC family protein ","ArsC family protein "
"Q47Z97","Phosphate acetyltransferase ","Phosphate acetyltransferase ","Phosphate acetyltransferase "
"Q47Z98","Acetate kinase ","Acetate kinase ","Acetate kinase "
"Q47ZA0","Ribosomal RNA large subunit methyltransferase A ","Ribosomal RNA large subunit methyltransferase A ","Ribosomal RNA large subunit methyltransferase A "
"Q47ZA1","Exodeoxyribonuclease III ","Exodeoxyribonuclease III ","Exodeoxyribonuclease III "
"Q47ZA2","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q47ZA4","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q47ZA7","Putative peptidase ","Putative peptidase ","Putative peptidase "
"Q47ZA8","Uncharacterized protein ","Uncharacterized protein ","DUF3379 domain-containing protein "
"Q47ZA9","RNA polymerase sigma factor ","RNA polymerase sigma factor ","RNA polymerase sigma factor "
"Q47ZB0","BatD protein ","BatD protein ","BatD protein "
"Q47ZB1","TPR domain protein ","TPR domain protein ","TPR domain protein "
"Q47ZB3","Uncharacterized protein ","Uncharacterized protein ","DUF58 domain-containing protein "
"Q47ZB4","Uncharacterized protein ","Uncharacterized protein ","ATPase associated with various cellular activities AAA_3 "
"Q47ZB6","3-ketoacyl-CoA thiolase ","3-ketoacyl-CoA thiolase ","3-ketoacyl-CoA thiolase "
"Q47ZB7","Fatty acid oxidation complex subunit alpha ","Fatty acid oxidation complex subunit alpha ","enoyl-CoA hydratase "
"Q47ZB8","Zinc metallopeptidase, M16 family ","Zinc metallopeptidase, M16 family ","Protease 3 "
